name	artist_uri	artist_image	artist_url	artist_popularity	avg_related_artist_pop	followers	genres	num_genres
Céline Dion	spotify:artist:4S9EykWXhStSc15wEx8QFK	https://i.scdn.co/image/ab6761610000e5eb357f2a87bf92208767a48e7e	https://open.spotify.com/artist/4S9EykWXhStSc15wEx8QFK	72	60.3	6223345	['canadian pop', 'dance pop']	2
Guns N' Roses	spotify:artist:3qm84nBOXUEQ2vnTfUTTFC	https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c	https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC	78	63.4	24883490	['glam metal', 'hard rock', 'rock']	3
Alice In Chains	spotify:artist:64tNsm6TnZe2zpcMVMOoHL	https://i.scdn.co/image/ab6761610000e5eb6114a63659d0d5c0a801f733	https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL	69	56.05	3997152	['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']	6
Snow Tha Product	spotify:artist:3p3jPcp8b7WL9XYj4xlsWj	https://i.scdn.co/image/ab6761610000e5eba7de9f1c290f2e932fe83d90	https://open.spotify.com/artist/3p3jPcp8b7WL9XYj4xlsWj	62	51.6	523723	['rap latina', 'trap queen']	2
Emotional Oranges	spotify:artist:12trz2INGglrKMzLmg0y2C	https://i.scdn.co/image/ab6761610000e5ebfa04c9b40f15468112000b01	https://open.spotify.com/artist/12trz2INGglrKMzLmg0y2C	55	55.0	230480	['alternative r&b']	1
Duskus	spotify:artist:59MDSNIYoOY0WRYuodzJPD	https://i.scdn.co/image/ab6761610000e5eb79d28c07144c2419fcba334d	https://open.spotify.com/artist/59MDSNIYoOY0WRYuodzJPD	42	44.45	34049	['future bass', 'pop edm', 'vapor soul', 'vapor twitch']	4
Peter CottonTale	spotify:artist:4mkGZGaUTIpyG1LnZ6nNIi	https://i.scdn.co/image/ab6761610000e5ebd7b6d3dfcee73d853b36d1e1	https://open.spotify.com/artist/4mkGZGaUTIpyG1LnZ6nNIi	43	39.9	24922	[]	0
The Carters	spotify:artist:4fpTMHe34LC5t3h5ztK8qu	https://i.scdn.co/image/ab6761610000e5ebeb9a74db18fea9f05d5f6d5a	https://open.spotify.com/artist/4fpTMHe34LC5t3h5ztK8qu	56	54.9	1390839	['pop', 'r&b', 'urban contemporary']	3
Jase Harley	spotify:artist:5EACmtyW2iwVRT92OQNpDq	https://i.scdn.co/image/ab6761610000e5eb41edcd1ab8e336f597e9c259	https://open.spotify.com/artist/5EACmtyW2iwVRT92OQNpDq	32	50.55	9304	['new jersey rap']	1
Social House	spotify:artist:5UjifI1TYefXWn9GdqDOHl	https://i.scdn.co/image/ab6761610000e5eb589ffbfcd3d3c9daeaffc36c	https://open.spotify.com/artist/5UjifI1TYefXWn9GdqDOHl	65	59.6	138618	[]	0
Teyana Taylor	spotify:artist:4ULO7IGI3M2bo0Ap7B9h8a	https://i.scdn.co/image/ab6761610000e5eb8dabeabefec7df1a02e7d61b	https://open.spotify.com/artist/4ULO7IGI3M2bo0Ap7B9h8a	61	58.6	1475329	['alternative r&b', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']	9
